gene,rna_rep1,rna_rep2
Alkbh4,0.108108108108108,0
Alkbh5,0.564705882352941,0.561643835616438
Alkbh6,0.714285714285714,0.903225806451613
Alkbh8,0.55,0.546875
Alms1,0.437956204379562,0.362869198312236
Alox12,0.3125,0
Alpl,0.55406269993602,0.538897893030794
Als2,0.641456582633053,0.513647642679901
Als2cl,0.277777777777778,0.244444444444444
Amacr,0.463414634146341,0.361111111111111
Ambra1,0.565217391304348,0.558139534883721
Amdhd2,0.506666666666667,0.367088607594937
Amfr,0.72,0.836065573770492
Amhr2,0.764705882352941,0.258064516129032
Ammecr1,0,0
Ammecr1l,0.533333333333333,0.3
Amotl1,0.296703296703297,0.73972602739726
Ampd2,0.470588235294118,0.576923076923077
Amph,0.622047244094488,0.722222222222222
Amt,0.459459459459459,0.533980582524272
Amz2,0.38,0.634615384615385
Anapc1,0.455902306648575,0.417620137299771
Anapc10,0.617021276595745,0.791666666666667
Anapc2,0.437125748502994,0.384297520661157
Anapc4,0.444444444444444,0.495798319327731
Anapc5,0.527305825242718,0.520706042090971
Anapc7,0.662393162393162,0.493087557603687
Angel1,0.409090909090909,0.521739130434783
Angel2,0.608108108108108,0.367088607594937
Angptl6,0.540540540540541,0.571428571428571
Ank,0.464285714285714,0.158730158730159
Ank2,0.310344827586207,0.430769230769231
Ank3,0.509615384615385,0.69047619047619
Ankhd1,0.502183406113537,0.63677130044843
Ankib1,0.682539682539683,0.2
Ankle1,0.876923076923077,0.931818181818182
Ankle2,0.459770114942529,0.467592592592593
Ankmy2,0.520547945205479,0.532934131736527
Ankra2,0.575342465753425,0.473684210526316
Ankrd10,0.759725400457666,0.754485363550519
Ankrd11,0.694835680751174,0.713707637835104
Ankrd12,0.451612903225806,0.372727272727273
Ankrd13a,0.516605166051661,0.481268011527378
Ankrd13c,0.641509433962264,0.235294117647059
Ankrd16,0.789473684210526,0.263157894736842
Ankrd17,0.509090909090909,0.518518518518518
Ankrd24,0.4,0.214285714285714
Ankrd26,0.50197628458498,0.386111111111111
Ankrd27,0.462068965517241,0.54932735426009
Ankrd28,0.424242424242424,0.633928571428571
Ankrd31,0.92,0.86
Ankrd35,0.438775510204082,0.145454545454545
Ankrd37,0.848648648648649,0.459016393442623
Ankrd40,0.68141592920354,0.367647058823529
Ankrd46,0.446043165467626,0.519230769230769
Ankrd49,0.475,0.476190476190476
Ankrd50,0.35,0.538461538461538
Ankrd52,0.35,0.48951048951049
Ankrd54,0.620689655172414,0.0285714285714286
Ankrd6,0.347826086956522,0
Ankrd9,0.588235294117647,0.396551724137931
Anks1,0.595505617977528,0.43298969072165
Anks3,0.573170731707317,0.415384615384615
Ankzf1,0.333333333333333,0.476635514018692
Anln,0.533965244865719,0.450704225352113
Ano1,0.961538461538462,1
Ano6,0.299065420560748,0.585798816568047
Ano9,0.403225806451613,0.352941176470588
Anpep,0.207792207792208,0.189189189189189
Anxa11,0.584577114427861,0.587859424920128
Anxa4,0.578947368421053,0.767441860465116
Anxa5,0.8,0.673469387755102
Anxa6,0.600397614314115,0.703668861712135
Anxa7,0.460377358490566,0.394472361809045
Aoah,0.104972375690608,0.098159509202454
Aopep,0.2,0.416666666666667
Ap1ar,0.631147540983607,0.836734693877551
Ap1b1,0.694444444444444,0.578947368421053
Ap1g1,0.714285714285714,0.768456375838926
Ap1g2,0.393258426966292,0.850393700787402
Ap1m2,0.2,0
Ap1s1,0.444444444444444,0.538461538461538
Ap2a1,0.513994910941476,0.419642857142857
Ap2a2,0.365051903114187,0.476394849785408
Ap2b1,0.438162544169611,0.413988657844991
Ap2m1,0.586734693877551,0.544303797468354
Ap2s1,0.7,0.220338983050847
Ap3b1,0.292792792792793,0.287334593572779
Ap3b2,0.38031914893617,0.48780487804878
Ap3d1,0.555555555555556,0.463768115942029
Ap3m1,0.545454545454545,0.4
Ap3m2,1,1
Ap3s2,0.36697247706422,0.552631578947368
Ap4b1,0.307692307692308,0
Ap4e1,0.417721518987342,0.839285714285714
Ap4m1,0.380952380952381,0.409090909090909
Ap4s1,0.153846153846154,1
Ap5b1,0.75,0.954545454545455
Ap5m1,0.342857142857143,0.72972972972973
Ap5z1,0.38,0.461538461538462
Apaf1,0.465217391304348,0.639130434782609
Apba3,0.392241379310345,0.435606060606061
Apbb1,0.53125,0.25
Apbb2,0.469387755102041,0.282608695652174
Apc,0.447204968944099,0.483430799220273
Apeh,0.553191489361702,0.484276729559748
Apela,0.87037037037037,0.45360824742268
Apex2,0,0
Api5,0.472941176470588,0.482269503546099
Apip,0.32,0.191919191919192
Aplf,0.478260869565217,0.483050847457627
Aplp1,0.257425742574257,0.518518518518518
Aplp2,0.433566433566434,0.416938110749186
Apobec2,0.235294117647059,0.245283018867925
Apobec3,0.494092373791622,0.528510638297872
Apoc1,0.738461538461539,0.41304347826087
Apoe,0.651832460732984,0.743142144638404
Apopt1,0.590747330960854,0.42654028436019
App,0.625,0.404255319148936
Appbp2,0.376811594202899,0.565789473684211
Appl1,0.559055118110236,0.591463414634146
Appl2,0.619047619047619,0.487179487179487
Aprt,0.613793103448276,0.659259259259259
Aptx,0.344262295081967,0.46875
Aqr,0.348754448398576,0.377329192546584
Araf,0,0
Arap1,0.59375,0.363957597173145
Arel1,0.537037037037037,0.683453237410072
Arf4,0.536585365853659,0.5
Arfgap1,0.510204081632653,0.426229508196721
Arfgap2,0.270588235294118,0.270491803278689
Arfgef1,0.451851851851852,0.322147651006711
Arfgef2,0.521311475409836,0.60377358490566
Arfip2,0.409090909090909,0.117647058823529
Arhgap1,0.43298969072165,0.708333333333333
Arhgap10,0.365079365079365,0.656565656565657
Arhgap11a,0.678294573643411,0.612334801762115
Arhgap12,0.623655913978495,0.736526946107784
Arhgap17,0.514018691588785,0.287128712871287
Arhgap19,0.625,0.406113537117904
Arhgap21,0.467710371819961,0.421981004070556
Arhgap23,0.372340425531915,0.666666666666667
Arhgap28,0.266666666666667,0.32
Arhgap29,0.0975609756097561,0.607142857142857
Arhgap30,0.303030303030303,0.320754716981132
Arhgap32,0.591160220994475,0.689473684210526
Arhgap35,0.522522522522523,0.390243902439024
Arhgap39,0.75,0.347826086956522
Arhgap4,0,0
Arhgap42,0.390804597701149,0.576923076923077
Arhgap45,0.5,0.666666666666667
Arhgap5,0.488372093023256,0.47752808988764
Arhgap8,0.620253164556962,0.826923076923077
Arhgap9,0.5,0.568181818181818
Arhgef1,0.440729483282675,0.421725239616613
Arhgef10,0.958333333333333,1
Arhgef10l,0.513353115727003,0.520408163265306
Arhgef11,0.692982456140351,0.90625
Arhgef12,0.186915887850467,0.451851851851852
Arhgef15,0.384615384615385,1
Arhgef16,0.2,0.85
Arhgef17,0.613636363636364,0.44578313253012
Arhgef18,0.545454545454545,0.715203426124197
Arhgef19,0.442307692307692,0.214285714285714
Arhgef2,0.459677419354839,0.4921875
Arhgef25,0.526315789473684,0.71875
Arhgef3,0.24390243902439,0.285714285714286
Arhgef39,0.246913580246914,0.52212389380531
Arhgef5,0.32,0
Arhgef7,0.6,0.631578947368421
Arid1a,0.520325203252033,0.419047619047619
Arid1b,0.462686567164179,0.432432432432432
Arid2,0.616557734204793,0.542435424354244
Arid3a,0.694444444444444,0.6875
Arid3b,0.404255319148936,0.301369863013699
Arid4a,0.614583333333333,0.394557823129252
Arid4b,0.657276995305164,0.628571428571429
Arid5b,0.622222222222222,0.568421052631579
Arih1,0.478260869565217,0.40952380952381
Arih2,0.433526011560694,0.537117903930131
Arl13b,0.491228070175439,0.203125
Arl14ep,0.666666666666667,0.614035087719298
Arl14epl,0.40650406504065,0.568965517241379
Arl16,0.375,0.508196721311475
Arl2,0.428571428571429,0.55
Arl2bp,0.66,0.723404255319149
Arl4a,0.272727272727273,0.428571428571429
Arl5a,0.614678899082569,0.242424242424242
Arl6,0.416666666666667,0.375
Arl6ip6,0.430769230769231,0.43348623853211
Arl8a,0.5,0.755102040816326
Armc10,0.462962962962963,0.463276836158192
Armc5,0.815384615384615,0.610169491525424
Armc6,0.675324675324675,0.819672131147541
Armc9,0.620689655172414,0.314285714285714
Armcx1,0.0128205128205128,0
Armcx4,0,0
Armh3,0.542105263157895,0.351851851851852
Armt1,0.4375,0.454976303317536
Arnt,0.545454545454545,0.568
Arntl,0.144444444444444,0.106060606060606
Arpc1a,0.510948905109489,0.474777448071217
Arpc1b,0.524064171122995,0.546583850931677
Arpc3,0.598984771573604,0.508823529411765
Arpc5,0.55078125,0.548387096774194
Arrb1,0.296296296296296,1
Arrdc1,0.666666666666667,0
Arrdc2,1,0.592592592592593
Arrdc3,0.625,0.548387096774194
Arrdc4,0.359375,0.391666666666667
Arvcf,0.833333333333333,0
As3mt,0.810810810810811,0.414634146341463
Asah1,0.496323529411765,0.561290322580645
Asap1,0.5,0.4
Asap2,0.531531531531532,0.233009708737864
Asap3,0.652777777777778,0.609756097560976
Asb16,0.574468085106383,0.795180722891566
Asb3,0.483870967741935,0
Asb6,0.5,0.691176470588235
Asb7,0.6875,0.454545454545455
Ascc1,0.466666666666667,0.55
Ascc2,0.280254777070064,0.220125786163522
Ascc3,0.429752066115702,0.225806451612903
Asf1a,0.588235294117647,0.41025641025641
Ash1l,0.46,0.449275362318841
Ash2l,0.596153846153846,0.673170731707317
Asl,0.380208333333333,0.67910447761194
Asna1,0.474576271186441,0.478260869565217
Asns,0.532330827067669,0.447350069735007
Asnsd1,0.303030303030303,0.655172413793103
Aspg,0.333333333333333,0.714285714285714
Asph,0.829787234042553,0.797979797979798
Aspm,0.547430830039526,0.611888111888112
Aspscr1,0.475409836065574,0.363636363636364
Asrgl1,0.52,0.405405405405405
Aste1,0.541666666666667,0.791044776119403
Asxl1,0.407821229050279,0.572727272727273
Asxl2,0.518272425249169,0.652747252747253
Asxl3,0,0.121212121212121
Atad1,0.544354838709677,0.471774193548387
Atad2,0.488188976377953,0.362030905077263
Atad2b,0.513274336283186,0.6875
Atad3a,0.495035460992908,0.527272727272727
Atad5,0.506493506493506,0.334158415841584
Ate1,0.492957746478873,0.945945945945946
Atf1,0.474226804123711,0.368421052631579
Atf2,0.382022471910112,0.531645569620253
Atf3,1,0.526315789473684
Atf4,0.484251968503937,0.558743169398907
Atf5,0.428571428571429,0.560975609756098
Atf6,0.344086021505376,0.593220338983051
Atf6b,0.032258064516129,0.75
Atf7ip,0.445686900958466,0.45516458569807
Atf7ip2,0.76,0.388888888888889
Atg10,0.652173913043478,0.588235294117647
Atg101,0.425531914893617,1
Atg13,0.4,0.3
Atg14,0.376470588235294,0.63265306122449
Atg16l1,0.472222222222222,0.5
Atg2a,0.520689655172414,0.539589442815249
Atg2b,0.542682926829268,0.334677419354839
Atg4b,0.582010582010582,0.405529953917051
Atg4c,0.25,0
Atg4d,0.465116279069767,0.321428571428571
Atg7,0.523809523809524,0.427710843373494
Atg9a,0.25,0.222222222222222
Atg9b,0.379310344827586,0.333333333333333
Atic,0.455786026200873,0.555555555555556
Atl2,0.6875,0.299319727891156
Atl3,0.5,0.404494382022472
Atm,0.466183574879227,0.572359843546284
Atmin,0.597353497164461,0.524173027989822
Atox1,0.346938775510204,0.742424242424242
Atp10a,0.233766233766234,0.590909090909091
Atp11a,0.707692307692308,0.657407407407407
Atp11b,0.505681818181818,0.507518796992481
Atp11c,0,0
Atp13a1,0.661870503597122,0.642857142857143
Atp13a2,0.557377049180328,0.597911227154047
Atp13a3,0.533482142857143,0.556603773584906
Atp1a1,0.330434782608696,0.299145299145299
Atp1a2,0.920863309352518,0.964071856287425
Atp1a3,0.472972972972973,0.534090909090909
Atp1b1,0.583333333333333,0.658273381294964
Atp1b3,0.590909090909091,0.59375
Atp23,0.487179487179487,0.711111111111111
Atp2a2,0.499618611746758,0.41564561734213
Atp2b1,0.515957446808511,0.224199288256228
Atp2b4,0.388888888888889,0.8125
Atp2c1,0.502890173410405,0.57725321888412
Atp2c2,1,1
Atp5d,0.424324324324324,0.471014492753623
Atp5e,0.420212765957447,0.420711974110032
Atp5g1,0.516129032258065,0.545454545454545
Atp5md,0.566666666666667,0.454545454545455
Atp5mpl,0.55,0.474358974358974
Atp5o,0.432432432432432,0.518518518518518
Atp5pb,0.571428571428571,0.597222222222222
Atp6ap2,0,0
Atp6v0a1,0.345794392523364,0.277372262773723
Atp6v0a2,0.466666666666667,0.5625
Atp6v0a4,0.612903225806452,0.293333333333333
Atp6v0d1,0.65625,0.705263157894737
Atp6v1a,0.541044776119403,0.350561797752809
Atp6v1b2,0.617913832199546,0.610236220472441
Atp6v1e1,0.402857142857143,0.491304347826087
Atp7a,0,0
Atp7b,0.775,0.882352941176471
Atp8a1,0.136363636363636,0.833333333333333
Atp8b2,0.613114754098361,0.565
Atp9a,0.596330275229358,0.750507099391481
Atp9b,0.260869565217391,0.418181818181818
Atpaf1,0.5,0.313725490196078
Atpaf2,0.724489795918367,0.642857142857143
Atpif1,0.468571428571429,0.575581395348837
Atr,0.45,0.5
Atrip,0.353711790393013,0.585139318885449
Atrn,0.41304347826087,0.588235294117647
Atrx,0,0
Atxn1l,0.818181818181818,0.685714285714286
Atxn2,0.585714285714286,0.482014388489209
Atxn2l,0.508152173913043,0.615384615384615
Atxn3,0.578947368421053,0.258064516129032
Atxn7,0.647058823529412,0.258064516129032
Atxn7l2,0.515151515151515,0.523809523809524
Atxn7l3b,0.519230769230769,0.482758620689655
AU022252,0.58695652173913,0.46
AU040320,0.465116279069767,0.666666666666667
Auh,0.323232323232323,0.714285714285714
Aunip,0.422680412371134,0.466346153846154
Aup1,0.515151515151515,0.542857142857143
Aurka,0.387096774193548,0.398496240601504
Aurkb,0.546174142480211,0.483754512635379
Auts2,0.380952380952381,0.254545454545455
Aven,0.271276595744681,0.555084745762712
Avl9,0.6,0.688888888888889
Avpi1,0.455729166666667,0.708791208791209
AW146154,0.692307692307692,0.418181818181818
AW209491,0.558139534883721,0.421052631578947
AW549877,0.333333333333333,0.2
AW551984,0.454545454545455,0
AW554918,0.478260869565217,0.281818181818182
Axin1,0.445161290322581,0.436893203883495
Axin2,0.411764705882353,0.337078651685393
Axl,0,0.117647058823529
Azi2,0.606060606060606,0.470588235294118
Azin2,0,0
B230118H07Rik,0.34375,0.6
B2m,0.529411764705882,0.153846153846154
B3galt4,0.266666666666667,0.631578947368421
B3gat3,0.573529411764706,0.339805825242718
B3glct,0.659649122807018,0.724310776942356
B3gnt2,0.466666666666667,0.474576271186441
B3gnt3,0.987951807228916,1
B3gnt5,0.44578313253012,0.397959183673469
B3gnt7,0.876712328767123,0.686274509803922
B3gntl1,0.714285714285714,0.571428571428571
B4galnt1,0.428571428571429,0.75
B4galnt2,0.703703703703704,0.44
B4galnt3,0.641304347826087,0.421188630490956
B4galnt4,0.5,0.539855072463768
B4galt1,0.622950819672131,0.333333333333333
B4galt5,0.666666666666667,0.775
B4galt6,0.321428571428571,0.325
B4galt7,0.944444444444444,0.348837209302326
B9d1,0.717948717948718,0.571428571428571
Babam1,0.674418604651163,0.685714285714286
Babam2,0.426966292134831,0.589595375722543
Bach1,0.338383838383838,0.315217391304348
Bag2,0.785714285714286,1
Bag3,0.870967741935484,1
Bag4,0.593220338983051,0.520833333333333
Bag5,0.406976744186047,0.888888888888889
Bag6,0.497536945812808,0.374429223744292
Bahcc1,0.455284552845528,0.260355029585799
Bahd1,0.562962962962963,0.538461538461538
