gene,long_rep1_ASE_pat,long_rep1_ASE_mat,long_rep1_pat_ratio,long_rep1_longread_def,long_rep2_ASE_pat,long_rep2_ASE_mat,long_rep2_pat_ratio,long_rep2_longread_def
Cdca2,33,36,0.478260869565217,none,43,33,0.565789473684211,none
Cdca4,77,55,0.583333333333333,none,45,49,0.478723404255319,none
Cdca8,110,113,0.493273542600897,none,91,99,0.478947368421053,none
Cdh1,226,115,0.662756598240469,none,181,94,0.658181818181818,none
Cdk1,159,201,0.441666666666667,none,134,169,0.442244224422442,none
Cdk11b,22,23,0.488888888888889,none,20,23,0.465116279069767,none
Cdk5rap2,27,22,0.551020408163265,none,21,20,0.51219512195122,none
Cdk5rap3,58,43,0.574257425742574,none,28,45,0.383561643835616,none
Cdk7,85,89,0.488505747126437,none,62,51,0.548672566371681,none
Cdkn1a,75,48,0.609756097560976,none,97,85,0.532967032967033,none
Cds2,40,41,0.493827160493827,none,43,42,0.505882352941176,none
Cdt1,295,161,0.646929824561403,none,261,110,0.703504043126685,none
Cdyl,33,33,0.5,none,16,25,0.390243902439024,none
Cebpz,101,79,0.561111111111111,none,63,69,0.477272727272727,none
Cenpa,180,217,0.453400503778338,none,130,179,0.420711974110032,none
Cenpe,40,31,0.563380281690141,none,17,27,0.386363636363636,none
Cenpf,45,62,0.420560747663551,none,33,25,0.568965517241379,none
Cenph,29,61,0.322222222222222,none,21,43,0.328125,none
Cenpm,51,74,0.408,none,71,78,0.476510067114094,none
Cenpn,49,25,0.662162162162162,none,34,28,0.548387096774194,none
Cenpu,52,19,0.732394366197183,none,39,23,0.629032258064516,none
Cep120,20,23,0.465116279069767,none,12,32,0.272727272727273,none
Cep192,19,54,0.26027397260274,none,17,24,0.414634146341463,none
Cep55,47,30,0.61038961038961,none,48,23,0.676056338028169,none
Cfdp1,204,119,0.631578947368421,none,124,108,0.53448275862069,none
Cggbp1,52,69,0.429752066115702,none,41,52,0.440860215053763,none
Chaf1b,87,96,0.475409836065574,none,65,77,0.457746478873239,none
Champ1,49,25,0.662162162162162,none,38,20,0.655172413793103,none
Chchd4,78,114,0.40625,none,57,90,0.387755102040816,none
Chd1,26,34,0.433333333333333,none,31,28,0.525423728813559,none
Chd4,59,84,0.412587412587413,none,33,50,0.397590361445783,none
Chfr,24,24,0.5,none,38,23,0.622950819672131,none
Chtf18,23,23,0.5,none,28,39,0.417910447761194,none
Ciao2b,74,57,0.564885496183206,none,68,63,0.519083969465649,none
Ckap2,95,37,0.71969696969697,none,54,30,0.642857142857143,none
Ckap2l,35,43,0.448717948717949,none,33,18,0.647058823529412,none
Ckap4,18,53,0.253521126760563,none,22,49,0.309859154929577,none
Ckap5,30,20,0.6,none,29,29,0.5,none
Clcn3,30,12,0.714285714285714,none,29,17,0.630434782608696,none
Clint1,41,52,0.440860215053763,none,25,32,0.43859649122807,none
Cln8,30,12,0.714285714285714,none,28,22,0.56,none
Clpb,38,31,0.550724637681159,none,30,35,0.461538461538462,none
Clpp,74,92,0.44578313253012,none,64,76,0.457142857142857,none
Clptm1l,32,24,0.571428571428571,none,35,20,0.636363636363636,none
Cltc,105,163,0.391791044776119,none,117,131,0.471774193548387,none
Cmas,35,57,0.380434782608696,none,18,23,0.439024390243902,none
Cmc2,80,40,0.666666666666667,none,56,26,0.682926829268293,none
Cmss1,15,28,0.348837209302326,none,18,27,0.4,none
Cmtm7,45,22,0.671641791044776,none,114,56,0.670588235294118,none
Cnot1,59,22,0.728395061728395,none,147,53,0.735,none
Cnot10,49,67,0.422413793103448,none,59,48,0.551401869158878,none
Cnot11,33,39,0.458333333333333,none,33,35,0.485294117647059,none
Cnot7,51,37,0.579545454545455,none,65,33,0.663265306122449,none
Cnot9,85,73,0.537974683544304,none,69,78,0.469387755102041,none
Cnpy2,120,117,0.506329113924051,none,82,98,0.455555555555556,none
Cobl,25,58,0.301204819277108,none,47,52,0.474747474747475,none
Cog2,31,28,0.525423728813559,none,43,12,0.781818181818182,none
Cog4,26,15,0.634146341463415,none,45,23,0.661764705882353,none
Commd10,49,55,0.471153846153846,none,52,56,0.481481481481481,none
Commd4,55,15,0.785714285714286,none,42,35,0.545454545454545,none
Commd8,70,57,0.551181102362205,none,43,44,0.494252873563218,none
Copa,71,49,0.591666666666667,none,53,40,0.56989247311828,none
Copb1,49,44,0.526881720430108,none,43,57,0.43,none
Copg1,55,90,0.379310344827586,none,62,55,0.52991452991453,none
Cops8,51,74,0.408,none,53,53,0.5,none
Coq3,35,28,0.555555555555556,none,34,37,0.47887323943662,none
Coro1b,55,62,0.47008547008547,none,60,40,0.6,none
Cox15,16,29,0.355555555555556,none,17,37,0.314814814814815,none
Creld1,21,30,0.411764705882353,none,42,26,0.617647058823529,none
Crlf2,32,56,0.363636363636364,none,23,44,0.343283582089552,none
Crlf3,53,51,0.509615384615385,none,52,50,0.509803921568627,none
Crls1,48,32,0.6,none,44,32,0.578947368421053,none
Crot,23,29,0.442307692307692,none,22,27,0.448979591836735,none
Crtap,45,36,0.555555555555556,none,64,55,0.53781512605042,none
Cryzl1,49,33,0.597560975609756,none,35,39,0.472972972972973,none
Cse1l,137,136,0.501831501831502,none,103,97,0.515,none
Cstb,141,216,0.394957983193277,none,122,261,0.318537859007833,none
Cstf1,32,39,0.450704225352113,none,31,23,0.574074074074074,none
Ctc1,35,34,0.507246376811594,none,29,30,0.491525423728814,none
Cth,39,49,0.443181818181818,none,60,85,0.413793103448276,none
Ctnna1,179,174,0.507082152974504,none,125,129,0.492125984251969,none
Ctnnal1,41,43,0.488095238095238,none,52,21,0.712328767123288,none
Ctsa,34,31,0.523076923076923,none,46,61,0.429906542056075,none
Ctsb,175,80,0.686274509803922,none,223,86,0.72168284789644,none
Ctu2,30,24,0.555555555555556,none,31,22,0.584905660377358,none
Cul1,51,69,0.425,none,55,47,0.53921568627451,none
Cwc15,72,81,0.470588235294118,none,49,96,0.337931034482759,none
Cyb5r4,47,57,0.451923076923077,none,41,53,0.436170212765957,none
Cyba,62,27,0.696629213483146,none,52,21,0.712328767123288,none
Cyfip1,19,30,0.387755102040816,none,40,29,0.579710144927536,none
Cyp51,92,90,0.505494505494505,none,83,65,0.560810810810811,none
D10Wsu102e,15,36,0.294117647058824,none,16,26,0.380952380952381,none
Dbf4,95,102,0.482233502538071,none,78,80,0.493670886075949,none
Dbnl,26,28,0.481481481481481,none,20,26,0.434782608695652,none
Dcaf15,43,32,0.573333333333333,none,33,19,0.634615384615385,none
Dcaf4,26,36,0.419354838709677,none,15,28,0.348837209302326,none
Dcaf8,58,28,0.674418604651163,none,31,36,0.462686567164179,none
Dck,26,33,0.440677966101695,none,16,36,0.307692307692308,none
Dcps,24,38,0.387096774193548,none,23,36,0.389830508474576,none
Dctd,77,39,0.663793103448276,none,72,33,0.685714285714286,none
Dctn5,30,35,0.461538461538462,none,20,26,0.434782608695652,none
Dctn6,53,30,0.63855421686747,none,39,11,0.78,none
Dctpp1,170,227,0.428211586901763,none,128,159,0.445993031358885,none
Ddb1,57,59,0.491379310344828,none,110,114,0.491071428571429,none
Ddt,52,73,0.416,none,42,72,0.368421052631579,none
Ddx1,179,123,0.592715231788079,none,112,80,0.583333333333333,none
Ddx10,52,28,0.65,none,45,29,0.608108108108108,none
Ddx18,114,136,0.456,none,88,113,0.437810945273632,none
Ddx20,52,48,0.52,none,35,38,0.479452054794521,none
Ddx24,55,57,0.491071428571429,none,40,53,0.43010752688172,none
Ddx27,40,40,0.5,none,40,45,0.470588235294118,none
Ddx41,31,48,0.392405063291139,none,40,40,0.5,none
Ddx46,40,65,0.380952380952381,none,24,40,0.375,none
Ddx47,64,75,0.460431654676259,none,58,51,0.532110091743119,none
Ddx52,42,31,0.575342465753425,none,28,26,0.518518518518518,none
Ddx56,59,37,0.614583333333333,none,48,55,0.466019417475728,none
Def8,53,69,0.434426229508197,none,33,36,0.478260869565217,none
Dele1,45,27,0.625,none,29,35,0.453125,none
Dennd2c,22,24,0.478260869565217,none,22,21,0.511627906976744,none
Dhcr24,78,68,0.534246575342466,none,55,59,0.482456140350877,none
Dhcr7,61,65,0.484126984126984,none,46,68,0.403508771929825,none
Dhodh,84,50,0.626865671641791,none,73,35,0.675925925925926,none
Dhps,90,32,0.737704918032787,none,64,25,0.719101123595506,none
Dhrs7b,15,31,0.326086956521739,none,21,22,0.488372093023256,none
Dhx29,21,27,0.4375,none,20,24,0.454545454545455,none
Dhx8,38,43,0.469135802469136,none,26,22,0.541666666666667,none
Dis3,63,54,0.538461538461538,none,41,32,0.561643835616438,none
Dlat,94,92,0.505376344086022,none,57,69,0.452380952380952,none
Dld,93,88,0.513812154696133,none,50,66,0.431034482758621,none
Dlg5,24,23,0.51063829787234,none,23,31,0.425925925925926,none
Dlgap5,62,54,0.53448275862069,none,49,49,0.5,none
Dmac2,36,33,0.521739130434783,none,34,25,0.576271186440678,none
Dmtn,38,38,0.5,none,24,20,0.545454545454545,none
Dna2,53,40,0.56989247311828,none,44,24,0.647058823529412,none
Dnaaf5,25,18,0.581395348837209,none,35,16,0.686274509803922,none
Dnajc21,57,67,0.459677419354839,none,67,68,0.496296296296296,none
Dnm1l,40,46,0.465116279069767,none,48,43,0.527472527472527,none
Dnmt1,55,43,0.561224489795918,none,58,58,0.5,none
Dnmt3b,49,57,0.462264150943396,none,18,26,0.409090909090909,none
Dnpep,36,38,0.486486486486487,none,46,56,0.450980392156863,none
Dnph1,48,41,0.539325842696629,none,53,30,0.63855421686747,none
Dnttip2,65,64,0.503875968992248,none,42,40,0.51219512195122,none
Dohh,32,41,0.438356164383562,none,26,36,0.419354838709677,none
Dpf2,31,22,0.584905660377358,none,37,45,0.451219512195122,none
Dph5,28,21,0.571428571428571,none,42,16,0.724137931034483,none
Dpp3,49,76,0.392,none,45,68,0.398230088495575,none
Dppa3,156,37,0.808290155440414,paternal,74,6,0.925,paternal
Dpy19l1,30,35,0.461538461538462,none,24,21,0.533333333333333,none
Drap1,63,53,0.543103448275862,none,41,63,0.394230769230769,none
Drg1,130,109,0.543933054393305,none,142,134,0.514492753623188,none
Drg2,44,47,0.483516483516484,none,48,43,0.527472527472527,none
Drosha,62,54,0.53448275862069,none,38,46,0.452380952380952,none
Dse,25,33,0.431034482758621,none,25,38,0.396825396825397,none
Dstn,220,198,0.526315789473684,none,200,115,0.634920634920635,none
Dtl,54,52,0.509433962264151,none,36,41,0.467532467532468,none
Dtymk,94,117,0.445497630331754,none,84,79,0.515337423312883,none
Dus3l,33,17,0.66,none,26,17,0.604651162790698,none
Dusp11,30,27,0.526315789473684,none,23,26,0.469387755102041,none
Dusp12,43,43,0.5,none,38,24,0.612903225806452,none
Dvl2,26,25,0.509803921568627,none,17,31,0.354166666666667,none
Dync1h1,45,51,0.46875,none,33,32,0.507692307692308,none
Dync1li1,29,40,0.420289855072464,none,40,59,0.404040404040404,none
Dyrk3,49,32,0.604938271604938,none,39,26,0.6,none
Ebna1bp2,143,117,0.55,none,59,51,0.536363636363636,none
Ecd,40,44,0.476190476190476,none,38,35,0.520547945205479,none
Ech1,54,68,0.442622950819672,none,82,93,0.468571428571429,none
Echdc2,72,73,0.496551724137931,none,80,71,0.529801324503311,none
Echs1,131,90,0.592760180995475,none,100,65,0.606060606060606,none
Eef1akmt1,41,47,0.465909090909091,none,25,26,0.490196078431373,none
Efr3a,17,35,0.326923076923077,none,11,31,0.261904761904762,none
Ehd1,51,62,0.451327433628319,none,49,42,0.538461538461538,none
Ehmt2,50,36,0.581395348837209,none,45,45,0.5,none
Eif2b1,45,50,0.473684210526316,none,45,52,0.463917525773196,none
Eif2b4,26,30,0.464285714285714,none,42,42,0.5,none
Eif2d,57,68,0.456,none,46,73,0.38655462184874,none
Eif3b,120,154,0.437956204379562,none,145,161,0.473856209150327,none
Eif3c,193,191,0.502604166666667,none,207,192,0.518796992481203,none
Eif3f,339,350,0.492017416545718,none,303,273,0.526041666666667,none
Eif3g,243,269,0.474609375,none,217,213,0.504651162790698,none
Eif3l,194,308,0.386454183266932,none,191,295,0.393004115226337,none
Eif4a3,158,144,0.52317880794702,none,159,132,0.54639175257732,none
Eif4g1,47,40,0.540229885057471,none,35,44,0.443037974683544,none
Elac2,23,32,0.418181818181818,none,25,26,0.490196078431373,none
Elp1,63,53,0.543103448275862,none,35,41,0.460526315789474,none
Elp2,64,67,0.488549618320611,none,46,51,0.474226804123711,none
Elp3,20,26,0.434782608695652,none,46,37,0.55421686746988,none
Emb,145,117,0.553435114503817,none,63,27,0.7,none
Eml4,46,41,0.528735632183908,none,23,27,0.46,none
Epb41l2,21,31,0.403846153846154,none,26,31,0.456140350877193,none
Epcam,146,223,0.395663956639566,none,15,59,0.202702702702703,none
Ephx2,5,67,0.0694444444444444,maternal,3,43,0.0652173913043478,maternal
Epop,287,151,0.655251141552511,none,231,147,0.611111111111111,none
Eprs,104,111,0.483720930232558,none,111,104,0.516279069767442,none
Ercc3,38,35,0.520547945205479,none,32,22,0.592592592592593,none
Ergic1,42,52,0.446808510638298,none,27,38,0.415384615384615,none
Ero1l,22,28,0.44,none,40,46,0.465116279069767,none
